Time,Speed,Throttle,Steer,X,Y,Z
0.0,1.9459565877914429,0.0,0.0,-64.64484405517578,24.471010208129883,0.3994882106781006
0.14569926261901855,2.993752479553228,0.699999988079071,0.0,-64.64474487304688,24.471010208129883,0.04785552993416786
0.1876523494720459,1.905385883211316,0.699999988079071,0.0,-64.64458465576172,24.471010208129883,-0.026857107877731323
0.2211894989013672,0.7359195516533132,0.699999988079071,0.0,-64.64443969726562,24.471010208129883,-0.09041843563318253
0.254075288772583,0.11767039667758067,0.699999988079071,0.0,-64.64427947998047,24.471012115478516,-0.0859946459531784
0.2879929542541504,0.1730610722533417,0.699999988079071,0.0,-64.6441879272461,24.471012115478516,-0.08393546938896179
0.32040905952453613,0.2947214153633827,0.699999988079071,0.0,-64.6440200805664,24.470985412597656,-0.06821925938129425
0.3545198440551758,0.30002741996027404,0.699999988079071,0.0,-64.64403533935547,24.470964431762695,-0.05874164402484894
0.38786959648132324,0.29486763484300443,0.699999988079071,0.0,-64.64404296875,24.47095489501953,-0.05379772186279297
0.428830623626709,0.2446164944178133,0.699999988079071,0.0,-64.64412689208984,24.470932006835938,-0.037745971232652664
0.46350908279418945,0.21205506748873412,0.699999988079071,0.0,-64.64418029785156,24.470924377441406,-0.03114803321659565
0.4985008239746094,0.196864816644867,0.699999988079071,0.0,-64.64419555664062,24.470922470092773,-0.02841724269092083
0.53122878074646,0.13334470690075154,0.699999988079071,0.0,-64.64427947998047,24.47092056274414,-0.01881248503923416
0.5648748874664307,0.10549881942164188,0.699999988079071,0.0,-64.6443099975586,24.470924377441406,-0.015289192087948322
0.599515438079834,0.08062454099277842,0.699999988079071,0.0,-64.64433288574219,24.470924377441406,-0.012542457319796085
0.6345362663269043,0.05268896163120937,0.699999988079071,0.0,-64.64435577392578,24.470924377441406,-0.009716033935546875
0.6671569347381592,0.05268896163120937,0.699999988079071,0.0,-64.64435577392578,24.470924377441406,-0.009716033935546875
0.7012934684753418,0.02518113209139291,0.699999988079071,0.0,-64.64440155029297,24.47092628479004,-0.007556495722383261
0.7345812320709229,0.015785817907468164,0.699999988079071,0.0,-64.6444091796875,24.470930099487305,-0.006978492718189955
0.769287109375,0.013308966314211204,0.699999988079071,0.0,-64.64441680908203,24.470930099487305,-0.006783561781048775
0.8022527694702148,0.5482195156640002,0.699999988079071,0.0,-64.63109588623047,24.470972061157227,-0.007296829018741846
0.8352353572845459,0.8765996220768052,0.699999988079071,0.0,-64.60750579833984,24.471038818359375,-0.008361130021512508
0.8690788745880127,1.1934538233231387,0.699999988079071,0.0,-64.56029510498047,24.47117042541504,-0.009835472330451012
0.9015069007873535,1.3494742693838608,0.699999988079071,0.0,-64.52051544189453,24.471281051635742,-0.010544853284955025
0.9329328536987305,1.4691062695796615,0.699999988079071,0.0,-64.47773742675781,24.47140121459961,-0.010976485908031464
0.9688014984130859,1.4691062695796615,0.699999988079071,0.0,-64.47773742675781,24.47140121459961,-0.010976485908031464
1.0021133422851562,1.6296421468005666,0.699999988079071,0.0,-64.38704681396484,24.47170066833496,-0.0112401582300663
1.0365569591522217,1.6772781750965744,0.699999988079071,0.0,-64.33570861816406,24.471839904785156,-0.011078376322984695
1.0703175067901611,1.7693066114398366,0.699999988079071,0.0,-64.25907897949219,24.472047805786133,-0.01073379535228014
1.105576992034912,1.829053148015323,0.699999988079071,0.0,-64.20397186279297,24.47218132019043,-0.010483245365321636
1.1392803192138672,1.8993743429971444,0.699999988079071,0.0,-64.14850616455078,24.47233772277832,-0.010273246094584465
1.1730656623840332,1.9911911251568548,0.699999988079071,0.0,-64.05656433105469,24.472570419311523,-0.010003013536334038
1.2069170475006104,2.0597333374411138,0.699999988079071,0.0,-63.98794174194336,24.47275733947754,-0.009801673702895641
1.2403373718261719,2.0882770379406197,0.699999988079071,0.0,-63.9571533203125,24.47283935546875,-0.009731559082865715
1.2736389636993408,2.1846096300955793,0.699999988079071,0.0,-63.84324264526367,24.47315788269043,-0.009528693743050098
1.3067245483398438,2.229908185846254,0.699999988079071,0.0,-63.78485107421875,24.47332000732422,-0.009423942305147648
1.3402197360992432,2.25015363219684,0.699999988079071,0.0,-63.757850646972656,24.473392486572266,-0.009373512119054794
1.3748953342437744,2.3397077209848733,0.699999988079071,0.0,-63.63197708129883,24.47374153137207,-0.009233245626091957
1.4066336154937744,2.401602969349905,0.699999988079071,0.0,-63.53940963745117,24.4739990234375,-0.009124412201344967
1.4418251514434814,2.4245495361337945,0.699999988079071,0.0,-63.50411605834961,24.474096298217773,-0.009094391018152237
1.47776198387146,2.506157338513979,0.699999988079071,0.0,-63.37514877319336,24.47445297241211,-0.00901027675718069
1.5129594802856445,2.5484792727190344,0.699999988079071,0.0,-63.3065071105957,24.474639892578125,-0.008963852189481258
1.5466368198394775,2.6104829287604243,0.699999988079071,0.0,-63.20414352416992,24.474924087524414,-0.008912048302590847
1.5800366401672363,2.6699986552595987,0.699999988079071,0.0,-63.10411834716797,24.475202560424805,-0.008869781158864498
1.6115953922271729,2.7136110849200294,0.699999988079071,0.0,-63.0297966003418,24.475406646728516,-0.00886005349457264
1.6459991931915283,2.733273002977577,0.699999988079071,0.0,-62.99604415893555,24.475500106811523,-0.008849524892866611
1.6802167892456055,2.822500312835597,0.699999988079071,0.0,-62.840824127197266,24.475929260253906,-0.008873977698385715
1.7143785953521729,2.8814442921942067,0.699999988079071,0.0,-62.73664474487305,24.47621726989746,-0.008874396793544292
1.7479743957519531,2.9422591780495706,0.699999988079071,0.0,-62.62781524658203,24.476518630981445,-0.008882217109203339
