x,y
-64.64484405517578,24.471010208129883
-64.5511245727539,24.47119903564453
-62.21622848510742,24.4776554107666
-58.08701705932617,24.48906135559082
-53.7294921875,25.67394256591797
-51.26273727416992,28.237112045288086
-50.30442428588867,30.866989135742188
-50.27876281738281,33.2044563293457
-50.37967300415039,35.97175598144531
-50.474945068359375,40.36448287963867
-50.60915756225586,46.55571746826172
-50.78945541381836,54.874481201171875
-51.008094787597656,64.96211242675781
-51.24982452392578,76.11377716064453
-51.50699234008789,87.97767639160156
-51.7379035949707,98.63182067871094
-51.79075622558594,101.05376434326172
-51.790809631347656,101.05570983886719
-51.790809631347656,101.05570983886719
