x,y
-64.64484405517578,25.971010208129883
-64.64437866210938,25.97086524963379
-63.37001419067383,26.020187377929688
-61.29239273071289,25.87229347229004
-59.01676940917969,25.851381301879883
-56.70724868774414,25.894500732421875
-54.22298049926758,25.864097595214844
-51.77623748779297,25.860694885253906
-49.27734375,26.09733009338379
-46.73859786987305,26.24724769592285
-44.23866653442383,26.395429611206055
-41.55488586425781,26.418615341186523
-38.71880340576172,26.450761795043945
-35.90978240966797,26.970319747924805
-33.41080093383789,27.65723419189453
-31.13865852355957,27.11325454711914
-28.599977493286133,27.663089752197266
-26.12218475341797,28.56415557861328
-23.983854293823242,27.732839584350586
-21.600351333618164,28.26594352722168
